"word","ipcc_01.pdf","ipcc_07.pdf","ipcc_14.pdf","ipcc_90_92.pdf","ipcc_95.pdf","total"
"100",116,32,105,41,14,308
"1000",137,1,46,9,15,208
"1990",170,20,13,128,65,396
"1992",30,12,14,38,20,114
"1995",49,12,9,2,48,120
"2°c",2,5,95,6,3,111
"2000",213,78,79,33,7,410
"2020",71,10,7,14,1,103
"2050",83,20,87,21,9,220
"20th",131,15,22,1,3,172
"2100",209,26,222,30,60,547
"21st",111,39,79,1,3,233
"ability",54,12,21,33,17,137
"access",35,15,45,23,5,123
"account",115,20,31,66,22,254
"across",117,32,89,5,14,257
"action",143,34,70,105,32,384
"activity",191,47,56,120,27,441
"adapt",89,16,25,54,15,199
"adaptation",498,112,501,36,87,1234
"adaptive",133,29,17,13,6,198
"addition",70,9,26,44,15,164
"additional",75,25,80,43,19,242
"address",111,16,37,75,32,271
"advance",70,19,18,11,12,130
"adverse",96,24,49,31,13,213
"aerosol",278,33,32,57,46,446
"affect",271,60,55,125,32,543
"africa",84,23,9,15,15,146
"aggregate",59,18,26,4,12,119
"agreement",101,37,107,18,18,281
"agricultural",78,12,20,57,26,193
"agriculture",120,41,33,78,29,301
"achieve",107,41,40,36,40,264
"air",144,17,48,41,20,270
"allow",61,8,7,15,13,104
"already",63,6,20,48,8,145
"also",462,102,163,182,75,984
"alter",53,11,22,39,17,142
"alternative",59,15,8,11,23,116
"although",113,11,19,56,13,212
"america",87,18,17,12,8,142
"among",97,15,49,40,28,229
"amount",93,30,19,40,13,195
"analysis",178,23,28,80,77,386
"annex",281,44,53,30,2,410
"annual",122,25,68,30,30,275
"antarctic",62,13,33,10,1,119
"anthropogenic",215,85,133,31,47,511
"apply",62,15,18,14,9,118
"approach",143,22,65,44,43,317
"appropriate",58,15,19,51,21,164
"arctic",49,22,41,3,3,118
"area",381,114,78,266,44,883
"arise",48,4,21,24,4,101
"asia",125,21,9,3,6,164
"aspect",56,17,22,32,9,136
"assess",97,86,75,55,22,335
"assessment",528,90,181,179,118,1096
"associate",225,42,95,66,21,449
"assume",78,12,17,39,13,159
"assumption",111,15,28,21,17,192
"atmosphere",237,54,54,128,27,500
"atmospheric",322,51,49,91,38,551
"australia",66,18,17,22,95,218
"author",39,11,20,3,119,192
"availability",72,28,31,44,29,204
"available",123,37,60,77,37,334
"average",262,162,85,54,27,590
"avoid",58,22,17,5,6,108
"balance",93,35,6,41,14,189
"barrier",145,51,7,15,15,233
"base",295,98,131,81,32,637
"baseline",114,40,95,1,15,265
"basis",80,16,32,70,14,212
"become",89,18,22,35,30,194
"benefit",328,47,122,48,56,601
"beyond",49,13,50,9,24,145
"biodiversity",64,12,30,2,2,110
"biological",109,34,15,26,13,197
"biomass",53,15,8,51,24,151
"box",84,29,231,12,9,365
"broad",59,13,11,22,7,112
"build",76,20,42,10,14,162
"can",901,177,266,447,219,2010
"canada",44,12,4,18,71,149
"capacity",240,47,53,22,20,382
"capital",45,11,9,11,29,105
"carbon",609,148,270,204,106,1337
"case",117,7,34,63,25,246
"category",26,22,52,15,6,121
"cause",173,50,104,61,12,400
"century",403,115,146,85,42,791
"certain",45,10,24,22,4,105
"circulation",102,30,16,42,8,198
"climate",2724,632,1062,925,509,5852
"climatic",89,8,22,76,25,220
"cloud",77,19,9,29,1,135
"co2",653,155,478,27,90,1403
"coal",63,13,17,12,8,113
"coastal",211,54,58,199,31,553
"cold",76,23,15,5,9,128
"combine",52,11,35,7,19,124
"community",60,18,35,20,6,139
"compare",92,19,48,13,12,184
"complex",62,5,17,17,3,104
"component",66,14,30,27,11,148
"concentration",553,96,170,131,106,1056
"concern",104,21,38,28,26,217
"condition",144,17,25,62,22,270
"confidence",301,78,387,23,11,800
"consequence",91,12,34,68,28,233
"consider",141,27,34,82,22,306
"consideration",37,10,9,46,25,127
"consistent",111,39,40,32,7,229
"constraint",44,26,32,10,7,119
"consumption",41,11,42,14,24,132
"contain",49,29,19,20,6,123
"context",49,8,33,19,8,117
"continue",147,24,55,93,23,342
"contribute",83,16,36,33,10,178
"contribution",101,62,92,45,7,307
"control",62,14,15,55,11,157
"convention",85,26,20,60,36,227
"cool",62,17,26,16,10,131
"cooperation",20,13,40,31,13,117
"coral",70,33,28,15,4,150
"correspond",33,33,30,5,7,108
"cost",940,153,163,103,265,1624
"country",693,100,93,572,151,1609
"couple",50,11,15,24,4,104
"cover",115,45,33,53,13,259
"crop",150,35,41,33,13,272
"cumulative",32,5,64,6,7,114
"current",179,39,55,66,48,387
"currently",42,16,7,23,15,103
"cycle",115,40,36,29,21,241
"cyclone",66,18,9,8,2,103
"damage",140,30,28,14,89,301
"datum",190,45,59,95,26,415
"day",83,18,6,32,4,143
"decade",187,50,92,91,30,450
"decision",113,16,49,27,45,250
"decline",102,24,12,12,6,156
"decrease",283,64,69,99,17,532
"define",83,38,30,10,8,169
"deforestation",35,22,23,37,8,125
"degree",69,12,24,32,9,146
"demand",116,27,50,41,32,266
"depend",163,31,63,52,40,349
"describe",79,16,17,15,6,133
"design",69,20,24,24,7,144
"detail",67,18,24,39,13,161
"determine",73,15,16,40,6,150
"develop",357,35,70,402,108,972
"development",488,119,167,199,69,1042
"differ",42,10,23,19,25,119
"difference",125,25,27,18,16,211
"different",276,64,93,67,42,542
"difficult",41,16,16,20,23,116
"dioxide",88,47,93,96,44,368
"direct",129,12,35,36,15,227
"disease",103,29,10,20,10,172
"distribution",101,19,23,52,27,222
"domestic",65,18,12,7,10,112
"drought",140,35,38,34,16,263
"due",226,124,93,99,39,581
"early",93,34,26,16,12,181
"earth",106,34,33,24,6,203
"ecological",79,3,16,19,22,139
"economic",570,113,158,166,148,1155
"economy",114,25,23,23,33,218
"ecosystem",226,47,151,134,42,600
"effect",588,86,166,253,98,1191
"effective",103,21,81,61,34,300
"effectiveness",55,14,30,9,13,121
"efficiency",134,26,39,47,52,298
"efficient",66,15,13,30,19,143
"effort",43,15,53,66,9,186
"either",67,16,16,12,2,113
"electricity",27,9,48,7,9,100
"emission",1255,340,647,487,300,3029
"end",42,30,43,50,11,176
"energy",626,163,316,254,232,1591
"enhance",106,8,68,72,30,284
"environment",99,28,23,45,9,204
"environmental",274,34,40,77,36,461
"equilibrium",49,45,20,16,12,142
"equity",137,9,23,1,54,224
"equivalent",41,26,55,20,23,165
"especially",107,22,33,61,28,251
"establish",74,5,8,33,15,135
"estimate",417,103,96,168,106,890
"europe",93,18,11,22,8,152
"even",106,23,32,49,21,231
"event",306,46,87,27,15,481
"evidence",99,45,132,21,10,307
"example",209,58,74,69,26,436
"exceed",55,22,32,10,5,124
"exist",134,15,50,79,43,321
"expansion",54,25,15,12,4,110
"expect",157,53,27,91,27,355
"experience",52,8,22,13,6,101
"expert",27,17,21,42,19,126
"exposure",35,13,48,1,3,100
"extent",134,25,43,40,24,266
"extreme",271,54,93,22,20,460
"factor",192,15,42,128,34,411
"far",133,43,31,130,26,363
"feedback",70,45,13,32,9,169
"figure",460,147,311,20,25,963
"finance",29,8,51,7,5,100
"financial",66,33,32,55,11,197
"find",63,11,8,24,12,118
"finding",51,22,19,27,1,120
"first",74,13,21,63,14,185
"fishery",42,6,20,28,11,107
"flood",190,50,55,35,33,363
"flow",71,30,25,23,6,155
"focus",49,4,24,24,12,113
"follow",92,23,32,50,22,219
"food",113,32,80,49,19,293
"force",401,75,111,82,50,719
"forest",139,44,48,172,45,448
"forestry",54,30,47,44,19,194
"form",59,25,19,27,9,139
"fossil",188,33,56,41,39,357
"framework",112,26,30,30,41,239
"frequency",146,21,12,17,9,205
"fuel",230,55,77,71,68,501
"full",61,13,20,39,7,140
"future",346,52,174,186,85,843
"gas",765,122,160,445,218,1710
"gdp",132,36,14,1,25,208
"general",95,19,17,69,16,216
"generally",89,28,14,28,17,176
"generation",59,11,20,16,26,132
"germany",14,6,24,6,68,118
"give",152,58,68,87,37,402
"glacier",67,38,21,25,7,158
"global",687,279,339,329,113,1747
"globally",80,9,36,15,2,142
"goal",47,8,39,16,5,115
"good",346,76,143,134,78,777
"government",80,23,52,18,29,202
"great",201,32,40,69,31,373
"greenhouse",575,69,99,386,184,1313
"group",236,104,91,150,68,649
"grow",67,21,23,32,23,166
"growth",148,37,51,84,28,348
"habitat",56,6,17,19,4,102
"half",69,11,13,19,6,118
"health",187,51,81,29,42,390
"heat",171,63,72,31,13,350
"hemisphere",112,18,14,46,3,193
"high",648,210,518,135,73,1584
"highly",81,7,6,11,5,110
"however",201,22,26,98,43,390
"human",447,91,183,153,88,962
"ch4",112,29,44,7,21,213
"challenge",45,8,41,5,6,105
"change",3207,707,1098,1150,555,6717
"characteristic",54,12,21,16,10,113
"choice",64,9,23,3,26,125
"ice",351,161,109,118,18,757
"identify",68,16,13,58,12,167
"iii",38,35,83,65,19,240
"impact",884,232,398,394,128,2036
"implement",90,25,21,37,20,193
"implementation",106,23,57,47,10,243
"implication",70,2,24,41,14,151
"imply",41,10,31,9,11,102
"important",193,20,36,101,35,385
"improve",166,54,53,75,28,376
"improvement",81,8,17,27,12,145
"include",616,173,250,225,114,1378
"income",54,13,30,9,11,117
"increase",1518,340,401,559,218,3036
"indicate",150,30,78,44,21,323
"indirect",65,2,21,17,11,116
"individual",69,14,42,33,17,175
"induce",82,26,25,28,15,176
"industrial",104,44,96,41,29,314
"industry",121,28,32,48,17,246
"influence",163,28,71,41,19,322
"information",169,40,45,152,56,462
"infrastructure",117,33,64,26,26,266
"institute",59,54,36,2,1,152
"institution",41,7,29,33,7,117
"institutional",82,6,33,38,24,183
"instrument",70,14,19,29,30,162
"insurance",73,7,15,1,13,109
"integrate",99,36,79,26,14,254
"intensity",127,17,32,33,15,224
"intensive",63,4,10,9,14,100
"interaction",72,10,50,10,8,150
"intergovernmental",38,21,34,12,10,115
"international",141,52,59,43,39,334
"introduction",58,13,60,20,3,154
"investment",65,24,42,8,18,157
"involve",95,18,42,20,17,192
"ipcc",458,151,218,62,174,1063
"island",77,20,13,40,16,166
"issue",173,16,19,141,48,397
"japan",31,9,17,17,50,124
"key",140,59,60,20,10,289
"know",91,11,8,32,10,152
"knowledge",49,7,26,30,18,130
"lack",69,9,14,30,5,127
"land",516,133,184,111,51,995
"large",368,85,127,130,42,752
"last",111,23,24,36,8,202
"late",57,12,21,20,11,121
"latitude",145,43,27,62,21,298
"lead",243,43,62,77,155,580
"less",61,25,23,14,20,143
"level",814,295,407,304,121,1941
"life",50,10,9,17,14,100
"likely",330,119,213,93,49,804
"limit",193,39,208,126,42,608
"line",57,34,35,12,8,146
"link",65,8,25,11,1,110
"literature",59,23,32,3,35,152
"little",223,33,52,72,45,425
"live",62,18,20,21,16,137
"local",163,22,70,28,11,294
"location",57,12,15,14,11,109
"long",222,102,138,91,51,604
"loss",299,36,70,38,16,459
"low",483,147,219,95,88,1032
"magnitude",162,29,47,38,16,292
"major",128,17,35,96,27,303
"make",228,47,64,117,54,510
"manage",46,13,53,32,6,150
"management",186,55,101,108,30,480
"many",405,89,102,112,76,784
"marine",65,29,45,31,3,173
"market",235,61,29,28,42,395
"mass",56,37,18,29,3,143
"material",40,21,30,30,15,136
"may",605,117,112,323,123,1280
"mean",283,27,151,104,44,609
"measure",231,67,83,125,91,597
"medium",215,27,247,3,3,495
"meet",75,20,29,49,19,192
"mechanism",100,23,24,66,5,218
"methane",50,13,27,90,28,208
"method",88,3,42,37,8,178
"mid",117,27,44,26,10,224
"million",44,16,10,35,14,119
"mitigation",631,191,513,8,93,1436
"mix",86,18,24,11,9,148
"model",951,148,257,186,71,1613
"much",1042,222,272,350,158,2044
"n2o",71,20,37,3,12,143
"nation",84,25,30,93,25,257
"national",134,54,109,116,22,435
"natural",374,99,113,157,63,806
"near",84,24,68,22,9,207
"necessary",41,3,3,59,3,109
"need",143,26,27,217,33,446
"negative",213,29,32,27,34,335
"net",190,37,52,53,31,363
"new",251,64,67,116,58,556
"next",57,19,23,86,33,218
"nitrous",23,11,20,38,17,109
"non",273,58,77,37,43,488
"north",94,18,19,27,11,169
"northern",133,27,16,13,8,197
"note",54,26,25,48,18,171
"now",45,25,13,43,11,137
"numb",127,31,57,75,32,322
"objective",67,10,44,29,15,165
"observation",109,17,36,43,3,208
"observe",248,91,148,46,11,544
"occur",183,43,42,62,23,353
"ocean",300,90,190,161,24,765
"often",119,27,42,18,7,213
"oil",133,10,13,2,13,171
"one",148,49,48,69,36,350
"opportunity",159,22,27,23,27,258
"option",275,59,127,150,84,695
"order",50,12,12,45,14,133
"organization",28,7,19,58,15,127
"overall",59,6,18,19,8,110
"oxide",28,11,21,42,19,121
"ozone",147,15,9,68,7,246
"panel",67,60,92,27,12,258
"part",163,37,27,85,16,328
"participation",9,1,7,82,3,102
"particular",96,25,25,69,28,243
"particularly",132,23,31,72,24,282
"party",51,19,5,31,14,120
"past",149,14,24,41,15,243
"path",83,11,4,2,10,110
"pattern",128,38,24,24,34,248
"people",79,28,45,18,12,182
"per",169,48,66,104,49,436
"period",207,64,121,46,17,455
"permafrost",61,14,20,57,4,156
"physical",112,41,40,23,10,226
"place",73,23,33,34,8,171
"plan",62,25,92,81,10,270
"plant",129,25,19,29,7,209
"point",49,13,34,21,12,129
"policy",543,108,204,88,102,1045
"policymaker",97,38,45,50,43,273
"pollution",86,10,33,19,15,163
"population",201,37,31,82,37,388
"positive",95,10,19,24,7,155
"possible",146,11,44,115,48,364
"potential",382,117,109,201,71,880
"power",79,26,35,29,12,181
"practice",99,18,35,60,23,235
"pre",56,39,77,22,10,204
"precipitation",258,43,56,72,23,452
"prediction",22,6,6,74,2,110
"present",163,18,58,122,46,407
"price",145,26,34,11,17,233
"private",70,23,40,5,7,145
"probability",50,12,38,4,3,107
"problem",83,5,6,70,15,179
"process",284,46,68,110,41,549
"produce",91,17,20,44,12,184
"product",98,34,34,28,14,208
"production",146,20,53,84,36,339
"productivity",80,21,12,33,24,170
"programme",25,18,18,96,26,183
"project",489,176,129,72,68,934
"projection",215,58,73,18,30,394
"property",72,15,22,19,5,133
"protection",51,7,20,31,11,120
"protocol",117,31,15,54,2,219
"provide",181,47,80,111,57,476
"public",86,18,37,32,14,187
"quality",86,21,37,33,11,188
"question",185,2,7,16,11,221
"radiation",61,38,16,54,1,170
"radiative",208,45,67,65,25,410
"rainfall",71,14,3,13,6,107
"range",499,137,215,99,103,1053
"rapid",102,17,15,27,14,175
"rate",350,89,98,146,73,756
"reach",39,14,39,17,9,118
"reason",55,11,20,21,10,117
"recent",105,25,41,27,7,205
"record",102,10,5,24,3,144
"reduce",499,123,279,160,120,1181
"reduction",440,66,144,89,68,807
"refer",101,43,59,10,10,223
"reference",78,26,33,31,4,172
"reflect",58,16,25,43,19,161
"regard",60,7,11,50,13,141
"region",469,111,140,189,60,969
"regional",332,60,54,190,45,681
"relate",228,56,88,108,60,540
"relative",138,60,139,28,23,388
"relatively",75,8,10,22,15,130
"relevant",65,20,28,28,25,166
"remain",87,34,34,33,24,212
"renewable",40,21,29,14,13,117
"report",818,199,259,141,100,1517
"represent",92,23,18,31,10,174
"require",157,36,46,96,28,363
"research",124,47,42,103,33,349
"resource",335,71,77,204,54,741
"respond",40,7,10,32,11,100
"response",281,57,130,223,39,730
"result",463,58,92,217,57,887
"revenue",106,8,9,2,11,136
"review",39,22,15,51,22,149
"rise",349,106,111,217,33,816
"risk",372,109,495,36,49,1061
"river",43,26,13,22,8,112
"role",49,12,33,22,3,119
"runoff",79,24,4,30,11,148
"scale",265,94,120,53,27,559
"scenario",891,250,424,223,55,1843
"science",23,32,26,17,15,113
"scientific",118,32,53,99,52,354
"sea",532,192,172,209,47,1152
"seasonal",51,10,6,32,9,108
"section",434,19,36,48,15,552
"sector",297,103,166,98,55,719
"security",40,9,62,7,2,120
"see",370,152,174,44,23,763
"sensitive",52,8,10,22,10,102
"sensitivity",111,45,24,36,32,248
"service",92,24,66,6,20,208
"set",89,20,42,27,9,187
"settlement",96,16,16,40,11,179
"several",149,23,23,50,20,265
"severe",44,3,28,28,8,111
"sheet",102,48,40,31,4,225
"shift",91,21,41,51,22,226
"short",69,10,21,50,6,156
"show",374,78,100,61,22,635
"side",38,8,68,6,3,123
"significant",153,51,34,90,23,351
"significantly",60,14,11,31,13,129
"similar",65,7,20,27,6,125
"simple",64,6,18,12,4,104
"simulation",77,11,22,21,7,138
"since",216,67,102,56,18,459
"sink",77,7,15,50,23,172
"six",62,28,2,10,6,108
"slow",75,11,7,12,9,114
"small",232,41,33,51,25,382
"snow",61,51,20,54,4,190
"social",228,42,94,54,63,481
"society",53,33,15,26,17,144
"socio",163,19,21,31,28,262
"soil",93,37,20,80,21,251
"solar",99,39,37,35,11,221
"source",189,44,33,127,39,432
"southern",105,21,10,15,1,152
"special",78,23,30,49,3,183
"species",189,33,67,100,19,408
"specific",87,40,42,76,17,262
"standard",47,25,30,4,13,119
"state",115,25,39,43,17,239
"storage",55,16,46,11,7,135
"storm",94,24,19,43,14,194
"strategy",119,16,53,156,25,369
"stress",139,36,11,45,9,240
"strong",60,11,19,11,5,106
"structure",81,13,38,38,18,188
"study",331,79,33,189,56,688
"sub",36,5,34,24,9,108
"substantial",81,13,41,15,20,170
"substantially",46,4,34,18,11,113
"suggest",87,18,7,45,29,186
"summary",233,45,62,60,40,440
"summer",85,10,4,33,4,136
"supply",121,42,79,48,43,333
"support",59,22,80,68,18,247
"surface",329,89,149,97,24,688
"sustainable",153,44,99,45,28,369
"system",755,198,292,131,153,1529
"table",241,96,197,36,11,581
"take",189,39,36,162,38,464
"target",137,20,20,23,7,207
"tax",166,32,39,10,29,276
"technical",216,38,62,54,68,438
"technological",203,45,26,35,19,328
"technology",484,95,149,149,86,963
"temperature",765,191,229,207,70,1462
"term",304,120,195,116,38,773
"terrestrial",107,23,26,70,10,236
"therefore",72,7,22,31,5,137
"thermal",46,43,12,15,6,122
"threaten",64,7,10,18,3,102
"three",106,31,19,41,15,212
"thus",62,16,20,48,13,159
"time",430,106,120,126,84,866
"topic",26,99,111,15,2,253
"total",124,45,98,42,27,336
"trade",224,21,42,23,7,317
"transfer",89,5,27,57,16,194
"transport",63,48,40,33,16,200
"trend",152,38,72,18,13,293
"tropical",188,37,19,48,12,304
"two",114,21,39,33,31,238
"type",70,22,19,26,10,147
"uncertainty",333,84,123,104,41,685
"underlie",61,12,15,11,10,109
"understand",135,35,39,90,17,316
"unit",76,33,48,14,19,190
"unite",85,31,47,27,8,198
"university",94,101,62,1,1,259
"unlikely",48,15,48,4,2,117
"upon",50,6,1,21,22,100
"uptake",58,21,11,9,1,100
"urban",73,5,63,24,4,169
"usa",73,16,52,4,496,641
"use",789,236,323,269,150,1767
"value",144,64,75,48,51,382
"variability",246,38,58,50,29,421
"variation",144,10,8,33,18,213
"various",81,11,17,35,16,160
"vary",165,22,27,48,23,285
"vulnerability",210,56,68,59,21,414
"vulnerable",144,24,24,40,21,253
"warm",494,198,321,186,35,1234
"waste",52,23,16,28,8,127
"water",543,179,154,207,64,1147
"wave",59,30,17,7,3,116
"way",62,17,10,42,10,141
"weather",131,31,30,29,10,231
"wide",92,25,50,27,31,225
"will",558,72,138,64,102,934
"wind",58,24,23,12,3,120
"winter",60,6,2,30,9,107
"within",144,36,46,50,19,295
"without",87,11,57,28,25,208
"work",159,78,84,176,63,560
"world",167,36,34,56,51,344
"year",656,117,157,199,56,1185
"yield",98,19,35,13,14,179
"zone",50,8,18,99,10,185
